Date;Open;High;Low;Close;Adj Close;Volume
02/01/2020;1500;1535;1500;1510;1356,026245;13727900
03/01/2020;1520;1525;1500;1515;1360,516357;15248800
06/01/2020;1515;1515;1470;1470;1320,10498;18050000
07/01/2020;1470;1485;1415;1440;1293,164063;34751300
08/01/2020;1440;1440;1395;1410;1266,223145;32211300
09/01/2020;1410;1460;1410;1460;1311,124634;39305900
10/01/2020;1460;1500;1455;1495;1342,555786;31783100
13/01/2020;1495;1500;1455;1490;1338,065674;14011100
14/01/2020;1490;1590;1490;1590;1427,868652;61989800
15/01/2020;1590;1605;1550;1600;1436,848999;17743700
16/01/2020;1600;1600;1570;1600;1436,848999;11668600
17/01/2020;1605;1620;1565;1620;1454,80957;16551400
20/01/2020;1620;1620;1580;1620;1454,80957;15778800
21/01/2020;1620;1650;1585;1645;1477,260376;30084000
22/01/2020;1645;1675;1625;1640;1472,770142;15311000
23/01/2020;1640;1650;1600;1620;1454,80957;4652900
24/01/2020;1620;1645;1610;1630;1463,789795;2521300
27/01/2020;1630;1630;1570;1625;1459,299805;13462000
28/01/2020;1625;1645;1585;1630;1463,789795;31136300
29/01/2020;1645;1645;1595;1595;1432,358887;8183500
30/01/2020;1595;1595;1550;1565;1405,417847;7031200
31/01/2020;1565;1720;1530;1720;1544,612671;45764800
03/02/2020;1690;1690;1590;1600;1436,848999;40106500
04/02/2020;1600;1630;1585;1600;1436,848999;21324800
05/02/2020;1600;1610;1590;1600;1436,848999;26744700
06/02/2020;1600;1645;1595;1640;1472,770142;12920200
07/02/2020;1640;1680;1610;1680;1508,691406;26416900
10/02/2020;1675;1675;1605;1610;1445,829224;9060800
11/02/2020;1635;1635;1580;1590;1427,868652;9534700
12/02/2020;1590;1600;1540;1585;1423,378418;28666300
13/02/2020;1585;1620;1585;1610;1445,829224;8092500
14/02/2020;1610;1655;1590;1645;1477,260376;20446100
17/02/2020;1650;1665;1645;1650;1481,750488;11931500
